Category_ID,Category_Title,Category_Handle,Category_URL,Products_Count,Description,Published_At
245223030973,Helium Latex Balloons by Piece,helium-latex-balloons-dubai,https://theperfectgift.ae/collections/helium-latex-balloons-dubai,209,,2021-02-20T14:37:05+04:00
260606132413,Hospital New Born Baby Setup,hospital-new-born-setup,https://theperfectgift.ae/collections/hospital-new-born-setup,95,,2021-02-26T01:26:36+04:00
260596007101,House Warming,house-warming,https://theperfectgift.ae/collections/house-warming,59,,2021-02-25T22:36:22+04:00
260577460413,International Woman's Day,international-womans-day,https://theperfectgift.ae/collections/international-womans-day,80,,2021-02-25T20:59:02+04:00
396848103649,Jewelry,jewelry-gifts-dubai,https://theperfectgift.ae/collections/jewelry-gifts-dubai,50,,2021-11-28T22:37:23+04:00
463597076705,Lambeth Cake,lambeth-birthday-cake-dubai,https://theperfectgift.ae/collections/lambeth-birthday-cake-dubai,27,,2025-06-09T11:17:16+04:00
245223096509,Letter & Number Balloons,letter-number-balloons,https://theperfectgift.ae/collections/letter-number-balloons,81,,2021-02-20T14:37:47+04:00
471437738209,Letter & Number Shaped Cakes,letter-number-shaped-cakes-dubai,https://theperfectgift.ae/collections/letter-number-shaped-cakes-dubai,25,,2025-09-27T20:20:29+04:00
454514704609,Locherber Milano,locherber-milano-diffuser-fragrance-gifts-dubai,https://theperfectgift.ae/collections/locherber-milano-diffuser-fragrance-gifts-dubai,16,,2025-01-22T12:32:40+04:00
245221982397,Love Balloons,love-balloons,https://theperfectgift.ae/collections/love-balloons,92,,2021-02-20T14:16:08+04:00
446869471457,Luxury Flower Car Wrap,luxury-flowers-car-wraps-dubai,https://theperfectgift.ae/collections/luxury-flowers-car-wraps-dubai,23,,2024-10-06T15:25:58+04:00
444325757153,Luxury Personalised Roses Bouquet,luxury-personalised-roses-bouquet,https://theperfectgift.ae/collections/luxury-personalised-roses-bouquet,24,,2024-09-04T19:42:27+04:00
398644347105,Macarons,macarons,https://theperfectgift.ae/collections/macarons,33,,2022-01-07T15:00:28+04:00
415997886689,Marriage Proposal Setup Decor,marriage-proposal-setup-decor,https://theperfectgift.ae/collections/marriage-proposal-setup-decor,29,,2023-07-23T19:29:10+04:00
444093169889,Men's bracelet & Watches,mens-bracelet-watches,https://theperfectgift.ae/collections/mens-bracelet-watches,17,,2024-09-01T00:06:19+04:00
260598137021,Mother's Day,mothers-day,https://theperfectgift.ae/collections/mothers-day,183,,2021-02-25T23:07:01+04:00
245232468157,Musical Guitar Performance Surprise,musical-surprise,https://theperfectgift.ae/collections/musical-surprise,1,"Vitali, a Professional Ukrainian Guitarist & Performer, graduated from the R.M. Glier Kyiv State Music College (Kiev, Ukraine) as ""The Art of Jazz and Popular Music"" Performer. His experience includes music performance at corporate banquets and was the leader of the musical group “Amigos de UA”. Vitali also had the opportunity to work as guitar player at Le Meridian Hotel (Amman, Jordan). He lives in Dubai at present and works as tutor at Music & Dance Centre. The package includes a 15-30 minutes Guitar performance of 'Happy Birthday' & choose any other Songs from the list in the product details which can be the Perfect Gift to accompany your selected cake, flowers or balloons or simply on it's own! Perfect for Birthday's, Anniversaries, Marriage Proposal or any Romantic or Special Occasion!",2021-02-20T16:25:47+04:00
245105721533,New Gifts Collection,new-gifts-dubai,https://theperfectgift.ae/collections/new-gifts-dubai,19,,2021-02-19T16:06:10+04:00
260605771965,New Year Decoration,new-year-decoration,https://theperfectgift.ae/collections/new-year-decoration,19,,2024-12-22T20:26:00+04:00
260574707901,Occasions,occasions,https://theperfectgift.ae/collections/occasions,49,,2021-02-25T20:20:44+04:00
260605706429,Opening Ceremony - Corporate Events & Decorations,opening-ceremony,https://theperfectgift.ae/collections/opening-ceremony,75,,2021-02-26T01:19:29+04:00
245224112317,Orchid / Plants,orchid-plants,https://theperfectgift.ae/collections/orchid-plants,7,,2021-02-20T14:58:47+04:00
245230764221,Perfumes,perfumes,https://theperfectgift.ae/collections/perfumes,28,,2021-02-20T16:09:55+04:00
245230436541,Personalised Gifts,personalised-gifts,https://theperfectgift.ae/collections/personalised-gifts,66,,2021-02-20T16:06:39+04:00
457867854049,Personalised Handmade Wooden Gifts,personalised-handmade-wooden-gifts-dubai,https://theperfectgift.ae/collections/personalised-handmade-wooden-gifts-dubai,34,,2025-03-17T18:19:51+04:00
273648320701,Personalised Planters,personalised-gift-planters,https://theperfectgift.ae/collections/personalised-gift-planters,0,,2021-07-22T23:17:11+04:00
471722361057,Photo Cake,photo-birthday-cake-dubai,https://theperfectgift.ae/collections/photo-birthday-cake-dubai,14,,2025-10-03T22:27:26+04:00
245231747261,Plush Teddy Bears,plush-teddy-bears,https://theperfectgift.ae/collections/plush-teddy-bears,53,,2021-02-20T16:18:59+04:00
415990317281,Pool / Outdoor Venue Decor,pool-outdoor-venue-decor,https://theperfectgift.ae/collections/pool-outdoor-venue-decor,5,,2023-07-21T21:27:57+04:00
401509810401,Premium Majdool Luxury Dates,emarati-luxury-dates,https://theperfectgift.ae/collections/emarati-luxury-dates,19,,2022-03-09T22:17:04+04:00
260595712189,Rakhi,rakhi,https://theperfectgift.ae/collections/rakhi,32,,2021-02-25T22:30:44+04:00
260578050237,Ramadan,ramadan-gifts-dubai,https://theperfectgift.ae/collections/ramadan-gifts-dubai,137,,2021-02-25T21:06:21+04:00
260598857917,Recipient,recipient,https://theperfectgift.ae/collections/recipient,0,,2021-02-25T23:19:04+04:00
260605345981,Romantic Room Set-up,romantic-room-set-up,https://theperfectgift.ae/collections/romantic-room-set-up,77,,2021-02-26T01:14:39+04:00
484025499873,Roses Bow Bouquets Collection,roses-bouquet-gift-dubai,https://theperfectgift.ae/collections/roses-bouquet-gift-dubai,28,,2026-03-20T18:05:02+04:00
245223194813,Signature Cakes,birthday-cakes-dubai,https://theperfectgift.ae/collections/birthday-cakes-dubai,33,,2021-02-20T14:41:50+04:00
473054085345,Surprise Balloon Box,surprise-balloon-box-dubai,https://theperfectgift.ae/collections/surprise-balloon-box-dubai,39,,2025-10-20T21:33:54+04:00
260598333629,Thank You,thank-you,https://theperfectgift.ae/collections/thank-you,78,,2021-02-25T23:10:44+04:00
463641379041,Tiered Cake,tiered-cake,https://theperfectgift.ae/collections/tiered-cake,34,,2025-06-10T14:12:50+04:00
260596727997,UAE National / Flag Day,uae-national-day,https://theperfectgift.ae/collections/uae-national-day,38,,2021-02-25T22:45:21+04:00
260577329341,Valentine's Day,valentines-day,https://theperfectgift.ae/collections/valentines-day,253,,2021-02-25T20:56:08+04:00
483934339297,VIP Luxury Flowers,vip-luxury-flowers-dubai,https://theperfectgift.ae/collections/vip-luxury-flowers-dubai,101,,2026-03-20T18:16:20+04:00
260605739197,Wedding / Engagement Decor,wedding-engagement-decor,https://theperfectgift.ae/collections/wedding-engagement-decor,79,,2021-02-26T01:20:15+04:00
415481561313,Wedding Cake,wedding-cake-dubai,https://theperfectgift.ae/collections/wedding-cake-dubai,48,,2023-05-24T22:19:05+04:00
404968243425,Yacht Balloon Decoration,yacht-balloon-decor-dubai,https://theperfectgift.ae/collections/yacht-balloon-decor-dubai,33,,2022-05-25T20:16:56+04:00
